ML,Month,YrAfter,Period,Green.Year,n
0,Apr,No,Green,2013,159
0,Apr,No,Green,2019,39
0,Apr,No,Green,2021,32
0,Apr,Yes,Green,2018,19
0,Apr,Yes,Green,2023,57
0,Aug,No,Yellow,2012,155
0,Aug,No,Yellow,2013,52
0,Aug,No,Yellow,2014,70
0,Aug,No,Yellow,2019,86
0,Aug,No,Yellow,2020,96
0,Aug,No,Yellow,2021,93
0,Aug,Yes,Yellow,2018,68
0,Aug,Yes,Yellow,2023,72
0,Dec,No,Green,2013,161
0,Dec,No,Green,2014,107
0,Dec,No,Green,2015,138
0,Dec,No,Green,2019,142
0,Dec,No,Green,2020,160
0,Dec,No,Green,2021,159
0,Dec,Yes,Green,2018,158
0,Dec,Yes,Green,2023,180
0,Feb,No,Green,2013,164
0,Feb,No,Green,2014,69
0,Feb,No,Green,2019,149
0,Feb,No,Green,2020,125
0,Feb,No,Green,2021,151
0,Feb,Yes,Green,2018,55
0,Feb,Yes,Green,2023,83
0,Jan,No,Green,2013,160
0,Jan,No,Green,2014,97
0,Jan,No,Green,2015,136
0,Jan,No,Green,2019,156
0,Jan,No,Green,2020,157
0,Jan,No,Green,2021,165
0,Jan,Yes,Green,2018,14
0,Jan,Yes,Green,2023,186
0,Jul,No,Yellow,2012,153
0,Jul,No,Yellow,2013,22
0,Jul,No,Yellow,2015,54
0,Jul,No,Yellow,2019,64
0,Jul,No,Yellow,2020,86
0,Jul,Yes,Yellow,2018,29
0,Jul,Yes,Yellow,2023,69
0,Jun,No,Yellow,2012,151
0,Jun,No,Yellow,2013,159
0,Jun,No,Yellow,2014,46
0,Jun,No,Yellow,2015,43
0,Jun,No,Yellow,2019,54
0,Jun,No,Yellow,2020,59
0,Jun,No,Yellow,2021,40
0,Jun,Yes,Yellow,2018,59
0,Jun,Yes,Yellow,2023,56
0,Mar,No,Green,2013,15
0,Mar,No,Green,2014,12
0,Mar,No,Green,2015,23
0,Mar,No,Green,2019,116
0,Mar,No,Green,2020,84
0,Mar,No,Green,2021,101
0,Mar,Yes,Green,2018,67
0,May,No,Green,2013,163
0,May,No,Green,2014,29
0,May,No,Green,2015,15
0,May,No,Green,2019,22
0,May,No,Green,2021,35
0,May,Yes,Green,2018,44
0,May,Yes,Green,2023,25
0,Nov,No,Yellow,2012,161
0,Nov,No,Yellow,2013,104
0,Nov,No,Yellow,2014,125
0,Nov,No,Yellow,2015,113
0,Nov,No,Yellow,2019,158
0,Nov,No,Yellow,2020,146
0,Nov,Yes,Yellow,2018,129
0,Nov,Yes,Yellow,2023,147
0,Oct,No,Yellow,2012,124
0,Oct,No,Yellow,2013,145
0,Oct,No,Yellow,2014,109
0,Oct,No,Yellow,2019,138
0,Oct,No,Yellow,2020,120
0,Oct,Yes,Yellow,2018,61
0,Oct,Yes,Yellow,2023,112
0,Sep,No,Yellow,2012,159
0,Sep,No,Yellow,2014,85
0,Sep,No,Yellow,2015,84
0,Sep,No,Yellow,2019,109
0,Sep,No,Yellow,2020,120
0,Sep,Yes,Yellow,2018,26
0,Sep,Yes,Yellow,2023,82
1,Apr,No,Green,2013,7
1,Apr,No,Green,2019,34
1,Apr,No,Green,2021,45
1,Apr,Yes,Green,2018,29
1,Apr,Yes,Green,2023,28
1,Aug,No,Yellow,2012,7
1,Aug,No,Yellow,2013,24
1,Aug,No,Yellow,2014,17
1,Aug,No,Yellow,2019,31
1,Aug,No,Yellow,2020,27
1,Aug,No,Yellow,2021,40
1,Aug,Yes,Yellow,2018,47
1,Aug,Yes,Yellow,2023,25
1,Dec,No,Green,2013,2
1,Dec,No,Green,2014,14
1,Dec,No,Green,2015,14
1,Dec,No,Green,2019,14
1,Dec,No,Green,2020,12
1,Dec,No,Green,2021,8
1,Dec,Yes,Green,2018,12
1,Dec,Yes,Green,2023,14
1,Feb,No,Green,2013,4
1,Feb,No,Green,2014,31
1,Feb,No,Green,2019,18
1,Feb,No,Green,2020,24
1,Feb,No,Green,2021,25
1,Feb,Yes,Green,2018,20
1,Feb,Yes,Green,2023,11
1,Jan,No,Green,2013,7
1,Jan,No,Green,2014,28
1,Jan,No,Green,2015,6
1,Jan,No,Green,2019,10
1,Jan,No,Green,2020,29
1,Jan,No,Green,2021,12
1,Jan,Yes,Green,2018,9
1,Jan,Yes,Green,2023,8
1,Jul,No,Yellow,2012,6
1,Jul,No,Yellow,2013,13
1,Jul,No,Yellow,2015,6
1,Jul,No,Yellow,2019,31
1,Jul,No,Yellow,2020,20
1,Jul,Yes,Yellow,2018,18
1,Jul,Yes,Yellow,2023,20
1,Jun,No,Yellow,2012,6
1,Jun,No,Yellow,2013,7
1,Jun,No,Yellow,2014,21
1,Jun,No,Yellow,2015,17
1,Jun,No,Yellow,2019,21
1,Jun,No,Yellow,2020,23
1,Jun,No,Yellow,2021,22
1,Jun,Yes,Yellow,2018,11
1,Jun,Yes,Yellow,2023,18
1,Mar,No,Green,2014,33
1,Mar,No,Green,2015,29
1,Mar,No,Green,2019,26
1,Mar,No,Green,2020,29
1,Mar,No,Green,2021,28
1,Mar,Yes,Green,2018,29
1,May,No,Green,2013,3
1,May,No,Green,2014,21
1,May,No,Green,2015,17
1,May,No,Green,2019,46
1,May,No,Green,2021,22
1,May,Yes,Green,2018,21
1,May,Yes,Green,2023,27
1,Nov,No,Yellow,2012,8
1,Nov,No,Yellow,2013,6
1,Nov,No,Yellow,2014,23
1,Nov,No,Yellow,2015,18
1,Nov,No,Yellow,2019,9
1,Nov,No,Yellow,2020,12
1,Nov,Yes,Yellow,2018,26
1,Nov,Yes,Yellow,2023,18
1,Oct,No,Yellow,2012,4
1,Oct,No,Yellow,2013,3
1,Oct,No,Yellow,2014,22
1,Oct,No,Yellow,2019,26
